Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,5,2015-07-31,5263,555,1,1,0,1
2,5,2015-07-31,6064,625,1,1,0,1
3,5,2015-07-31,8314,821,1,1,0,1
4,5,2015-07-31,13995,1498,1,1,0,1
5,5,2015-07-31,4822,559,1,1,0,1
1,4,2015-07-30,5020,546,1,1,0,1
2,4,2015-07-30,5567,601,1,1,0,1
3,4,2015-07-30,8977,823,1,1,0,1
4,4,2015-07-30,10387,1276,1,1,0,1
5,4,2015-07-30,4943,539,1,1,0,1
1,3,2015-07-29,4782,523,1,1,0,1
2,3,2015-07-29,6402,727,1,1,0,1
3,3,2015-07-29,7610,716,1,1,0,1
4,3,2015-07-29,10514,1258,1,1,0,1
5,3,2015-07-29,5899,658,1,1,0,1
1,2,2015-07-28,5011,560,1,1,0,1
2,2,2015-07-28,5671,646,1,1,0,1
3,2,2015-07-28,8864,818,1,1,0,1
4,2,2015-07-28,10275,1191,1,1,0,1
5,2,2015-07-28,6083,598,1,1,0,1
1,1,2015-07-27,6102,612,1,1,0,1
2,1,2015-07-27,6627,638,1,1,0,1
3,1,2015-07-27,8107,768,1,1,0,1
4,1,2015-07-27,11812,1379,1,1,0,1
5,1,2015-07-27,7059,650,1,1,0,1
1,7,2015-07-26,0,0,0,0,0,0
2,7,2015-07-26,0,0,0,0,0,0
3,7,2015-07-26,0,0,0,0,0,0
4,7,2015-07-26,0,0,0,0,0,0
5,7,2015-07-26,0,0,0,0,0,0
1,6,2015-07-25,4364,500,1,0,0,0
2,6,2015-07-25,2512,316,1,0,0,0
3,6,2015-07-25,3878,412,1,0,0,0
4,6,2015-07-25,9322,1219,1,0,0,0
5,6,2015-07-25,2030,228,1,0,0,0
1,5,2015-07-24,3706,459,1,0,0,0
2,5,2015-07-24,3854,468,1,0,0,1
3,5,2015-07-24,5080,607,1,0,0,1
4,5,2015-07-24,8322,1108,1,0,0,1
5,5,2015-07-24,3815,485,1,0,0,1
1,4,2015-07-23,3769,503,1,0,0,0
2,4,2015-07-23,4108,521,1,0,0,1
3,4,2015-07-23,5702,655,1,0,0,1
4,4,2015-07-23,7286,1101,1,0,0,1
5,4,2015-07-23,3713,455,1,0,0,1
1,3,2015-07-22,3464,463,1,0,0,0
2,3,2015-07-22,5093,650,1,0,0,1
3,3,2015-07-22,5414,607,1,0,0,1
4,3,2015-07-22,8503,1108,1,0,0,1
5,3,2015-07-22,3595,503,1,0,0,1
1,2,2015-07-21,3558,469,1,0,0,0
2,2,2015-07-21,3836,532,1,0,0,1
3,2,2015-07-21,5600,661,1,0,0,1
4,2,2015-07-21,9176,1149,1,0,0,1
5,2,2015-07-21,3497,445,1,0,0,1
1,1,2015-07-20,4395,526,1,0,0,0
2,1,2015-07-20,4435,564,1,0,0,1
3,1,2015-07-20,5798,671,1,0,0,1
4,1,2015-07-20,10283,1348,1,0,0,1
5,1,2015-07-20,4183,530,1,0,0,1
1,7,2015-07-19,0,0,0,0,0,0
2,7,2015-07-19,0,0,0,0,0,0
3,7,2015-07-19,0,0,0,0,0,0
4,7,2015-07-19,0,0,0,0,0,0
5,7,2015-07-19,0,0,0,0,0,0
1,6,2015-07-18,4406,512,1,0,0,0
2,6,2015-07-18,3417,359,1,0,0,0
3,6,2015-07-18,4258,417,1,0,0,0
4,6,2015-07-18,9703,1284,1,0,0,0
5,6,2015-07-18,2108,241,1,0,0,0
1,5,2015-07-17,4852,519,1,1,0,0
2,5,2015-07-17,4518,495,1,1,0,1
3,5,2015-07-17,6679,673,1,1,0,1
4,5,2015-07-17,10514,1343,1,1,0,1
5,5,2015-07-17,4355,513,1,1,0,1
1,4,2015-07-16,4427,517,1,1,0,0
2,4,2015-07-16,5062,544,1,1,0,1
3,4,2015-07-16,7909,812,1,1,0,1
4,4,2015-07-16,11432,1417,1,1,0,1
5,4,2015-07-16,4963,571,1,1,0,1
1,3,2015-07-15,4767,550,1,1,0,0
2,3,2015-07-15,6406,780,1,1,0,1
3,3,2015-07-15,8663,865,1,1,0,1
4,3,2015-07-15,11126,1377,1,1,0,0
5,3,2015-07-15,6323,716,1,1,0,1
1,2,2015-07-14,5042,544,1,1,0,0
2,2,2015-07-14,6122,645,1,1,0,1
3,2,2015-07-14,8625,769,1,1,0,1
4,2,2015-07-14,12315,1485,1,1,0,0
5,2,2015-07-14,6144,607,1,1,0,1
1,1,2015-07-13,5054,553,1,1,0,0
2,1,2015-07-13,6874,687,1,1,0,1
3,1,2015-07-13,9462,812,1,1,0,1
4,1,2015-07-13,13550,1619,1,1,0,0
5,1,2015-07-13,7425,719,1,1,0,1
1,7,2015-07-12,0,0,0,0,0,0
2,7,2015-07-12,0,0,0,0,0,0
3,7,2015-07-12,0,0,0,0,0,0
4,7,2015-07-12,0,0,0,0,0,0
5,7,2015-07-12,0,0,0,0,0,0
1,6,2015-07-11,3530,441,1,0,0,0
2,6,2015-07-11,2677,311,1,0,0,0
3,6,2015-07-11,4011,409,1,0,0,0
4,6,2015-07-11,10996,1401,1,0,0,0
5,6,2015-07-11,2023,228,1,0,0,0
1,5,2015-07-10,3808,449,1,0,0,0
2,5,2015-07-10,4384,539,1,0,0,0
3,5,2015-07-10,6316,689,1,0,0,1
4,5,2015-07-10,9177,1245,1,0,0,0
5,5,2015-07-10,4252,530,1,0,0,0
1,4,2015-07-09,3897,480,1,0,0,0
2,4,2015-07-09,4082,495,1,0,0,0
3,4,2015-07-09,6613,691,1,0,0,1
4,4,2015-07-09,9093,1185,1,0,0,0
5,4,2015-07-09,4601,540,1,0,0,0
1,3,2015-07-08,3797,485,1,0,0,0
2,3,2015-07-08,5676,693,1,0,0,0
3,3,2015-07-08,6347,680,1,0,0,1
4,3,2015-07-08,8620,1134,1,0,0,0
5,3,2015-07-08,4990,639,1,0,0,0
1,2,2015-07-07,3650,485,1,0,0,0
2,2,2015-07-07,4313,531,1,0,0,0
3,2,2015-07-07,6180,657,1,0,0,1
4,2,2015-07-07,8127,1103,1,0,0,0
5,2,2015-07-07,4036,507,1,0,0,0
